Table	Duration	Birth	Death	LastKnownVersion	BirthDate	LKVDate	YearOfBirth	YearOfLKV	DurationDays	SchemaSize@Birth	SchemaSize@LKV	SchemaSizeAvg	SchemaSizeResizeRatio	SumUpd	CountVwUpd	ATU	UpdRate	AvgUpdVolume	SurvivalClass	ActivityClass	LADClass
DBCOPY_SOURCE_DATABASE	5	80	-	84	2008-12-10 13:28:06	2009-03-29 08:14:27	3	3	108	1	1	1	1	0	0	0	0		20	0	20
HLT_HRC_TO_HRP	15	70	-	84	2008-07-04 15:03:33	2009-03-29 08:14:27	2	3	267	6	6	6	1	0	0	0	0		20	0	20
HLT_HRE_TO_HRS	12	73	-	84	2008-07-23 13:50:17	2009-03-29 08:14:27	2	3	248	6	6	6	1	0	0	0	0		20	0	20
HLT_HRS_TO_HRU	15	70	-	84	2008-07-04 15:03:33	2009-03-29 08:14:27	2	3	267	6	7	6.8	1.17	1	1	0.07	0.07	1	20	1	21
HLT_HRU_TO_HRC	15	70	-	84	2008-07-04 15:03:33	2009-03-29 08:14:27	2	3	267	7	7	7	1	0	0	0	0		20	0	20
HLT_RULE	15	70	-	84	2008-07-04 15:03:33	2009-03-29 08:14:27	2	3	267	7	7	7	1	0	0	0	0		20	0	20
HLT_RULE_COMPONENT	15	70	-	84	2008-07-04 15:03:33	2009-03-29 08:14:27	2	3	267	8	10	9.6	1.25	2	1	0.13	0.07	2	20	1	21
HLT_RULE_PARAMETER	15	70	-	84	2008-07-04 15:03:33	2009-03-29 08:14:27	2	3	267	7	7	7	1	0	0	0	0		20	0	20
HLT_RULE_SET	15	70	-	84	2008-07-04 15:03:33	2009-03-29 08:14:27	2	3	267	6	6	6	1	0	0	0	0		20	0	20
HLT_SMT_TO_HRE	8	77	-	84	2008-08-01 08:32:46	2009-03-29 08:14:27	3	3	239	6	6	6	1	0	0	0	0		20	0	20
hlt_component	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	9	10	9.13	1.11	16	10	0.19	0.12	1.6	20	2	22
hlt_cp_to_cp	19	66	-	84	2008-05-27 14:39:40	2009-03-29 08:14:27	2	3	305	6	6	6	1	4	1	0.21	0.05	4	20	1	21
hlt_cp_to_pa	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	6	6	6.01	1	4	4	0.05	0.05	1	20	1	21
hlt_dl_to_en	22	0	21	21	2006-07-31 15:14:12	2007-04-23 16:44:35	0	1	266	3	3	3	1	0	0	0	0		10	0	10
hlt_dll	22	0	21	21	2006-07-31 15:14:12	2007-04-23 16:44:35	0	1	266	7	7	7	1	1	1	0.05	0.05	1	10	1	11
hlt_environment	22	0	21	21	2006-07-31 15:14:12	2007-04-23 16:44:35	0	1	266	7	7	7	1	2	2	0.09	0.09	1	10	1	11
hlt_force_dll	38	0	37	37	2006-07-31 15:14:12	2007-08-21 15:25:23	0	2	386	6	6	6.03	1	3	3	0.08	0.08	1	10	1	11
hlt_master_table	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	10	12	11.34	1.2	11	7	0.13	0.08	1.57	20	2	22
hlt_parameter	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	7	8	7.18	1.14	11	11	0.13	0.13	1	20	2	22
hlt_prescale	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	7	9	8.4	1.29	9	6	0.11	0.07	1.5	20	2	22
hlt_prescale_set	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	7	7	7	1	9	9	0.11	0.11	1	20	2	22
hlt_prescale_set_alias	52	33	-	84	2007-07-03 11:48:39	2009-03-29 08:14:27	1	3	634	7	7	7	1	3	2	0.06	0.04	1.5	20	1	21
hlt_prescale_set_coll	2	83	-	84	2009-03-24 13:39:12	2009-03-29 08:14:27	3	3	4	3	4	3.5	1.33	1	1	0.5	0.5	1	20	1	21
hlt_property	22	0	21	21	2006-07-31 15:14:12	2007-04-23 16:44:35	0	1	266	7	7	7	1	1	1	0.05	0.05	1	10	1	11
hlt_re_to_dl	22	0	21	21	2006-07-31 15:14:12	2007-04-23 16:44:35	0	1	266	6	6	6	1	1	1	0.05	0.05	1	10	1	11
hlt_release	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	6	8	6.2	1.33	10	6	0.12	0.07	1.67	20	2	22
hlt_setup	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	6	7	6.44	1.17	6	5	0.07	0.06	1.2	20	1	21
hlt_so_to_dl	22	0	21	21	2006-07-31 15:14:12	2007-04-23 16:44:35	0	1	266	3	3	3	1	0	0	0	0		10	0	10
hlt_so_to_py	22	0	21	21	2006-07-31 15:14:12	2007-04-23 16:44:35	0	1	266	3	3	3	1	0	0	0	0		10	0	10
hlt_source	22	0	21	21	2006-07-31 15:14:12	2007-04-23 16:44:35	0	1	266	6	6	6	1	1	1	0.05	0.05	1	10	1	11
hlt_st_to_cp	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	6	6	6.01	1	4	4	0.05	0.05	1	20	1	21
hlt_tc_to_st	2	0	1	1	2006-07-31 15:14:12	2006-08-04 13:41:41	0	1	3	6	6	6	1	0	0	0	0		10	0	10
hlt_tc_to_tr	81	3	-	84	2006-09-27 10:45:29	2009-03-29 08:14:27	1	3	913	6	7	6.83	1.17	8	7	0.1	0.09	1.14	20	1	21
hlt_tc_to_ts	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	7	7	7.01	1	4	4	0.05	0.05	1	20	1	21
hlt_tc_to_tt	1	53	53	53	2008-04-08 08:56:41	2008-04-08 08:56:41	2	2	0	6	6	6	1	0	0	0	0		10	0	10
hlt_te_to_cp	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	7	7	7.09	1	13	8	0.15	0.09	1.62	20	2	22
hlt_te_to_te	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	6	8	7.4	1.33	13	7	0.15	0.08	1.86	20	2	22
hlt_tm_to_ps	18	67	-	84	2008-06-11 16:30:32	2009-03-29 08:14:27	2	3	290	6	6	6	1	0	0	0	0		20	0	20
hlt_tm_to_tc	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	7	6	6.28	0.86	5	5	0.06	0.06	1	20	1	21
hlt_trigger_chain	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	10	12	10.55	1.2	16	12	0.19	0.14	1.33	20	2	22
hlt_trigger_element	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	6	6	6.01	1	7	7	0.08	0.08	1	20	1	21
hlt_trigger_group	50	35	-	84	2007-07-13 16:48:23	2009-03-29 08:14:27	1	3	624	6	6	6	1	2	1	0.04	0.02	2	20	1	21
hlt_trigger_menu	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	8	8	8.01	1	9	6	0.11	0.07	1.5	20	2	22
hlt_trigger_signature	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	5	5	5.01	1	4	4	0.05	0.05	1	20	1	21
hlt_trigger_stream	82	3	-	84	2006-09-27 10:45:29	2009-03-29 08:14:27	1	3	913	6	8	7.8	1.33	32	11	0.39	0.13	2.91	20	2	22
hlt_trigger_streamtag	1	53	53	53	2008-04-08 08:56:41	2008-04-08 08:56:41	2	2	0	5	5	5	1	0	0	0	0		10	0	10
hlt_trigger_type	68	17	-	84	2007-03-14 12:42:01	2009-03-29 08:14:27	1	3	745	6	6	6.01	1	28	6	0.41	0.09	4.67	20	2	22
hlt_ts_to_te	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	7	7	7.01	1	4	4	0.05	0.05	1	20	1	21
hlt_tt_to_tr	1	53	53	53	2008-04-08 08:56:41	2008-04-08 08:56:41	2	2	0	7	7	7	1	0	0	0	0		10	0	10
l1_bg_to_b	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	6	6	6.01	1	4	4	0.05	0.05	1	20	1	21
l1_bgs_to_bg	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	7	7	7.01	1	4	4	0.05	0.05	1	20	1	21
l1_bunch_group	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	6	7	6.2	1.17	7	6	0.08	0.07	1.17	20	1	21
l1_bunch_group_set	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	6	7	6.21	1.17	7	6	0.08	0.07	1.17	20	1	21
l1_calo_info	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	19	19	19.01	1	9	8	0.11	0.09	1.12	20	2	22
l1_calo_sin_cos	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	18	18	18.01	1	6	5	0.07	0.06	1.2	20	1	21
l1_ci_to_csc	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	6	6	6.01	1	4	4	0.05	0.05	1	20	1	21
l1_ctp_files	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	8	16	12.44	2	14	6	0.16	0.07	2.33	20	2	22
l1_ctp_smx	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	13	13	13.01	1	12	6	0.14	0.07	2	20	2	22
l1_dead_time	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	11	11	11.01	1	6	5	0.07	0.06	1.2	20	1	21
l1_jet_input	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	12	12	12.01	1	6	5	0.07	0.06	1.2	20	1	21
l1_master_table	84	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	15	15	14.88	1	10	8	0.12	0.1	1.25	20	2	22
l1_muctpi_info	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	9	9	9.01	1	6	5	0.07	0.06	1.2	20	1	21
l1_muon_threshold_set	16	69	-	84	2008-07-02 12:54:01	2009-03-29 08:14:27	2	3	269	24	20	22.25	0.83	13	1	0.81	0.06	13	20	2	22
l1_muon_threshold_sets	57	12	68	68	2006-11-07 10:13:03	2008-06-18 15:04:47	1	2	589	14	14	14.02	1	6	5	0.11	0.09	1.2	10	2	12
l1_pits	45	40	-	84	2007-10-07 12:56:49	2009-03-29 08:14:27	2	3	538	7	7	7	1	1	1	0.02	0.02	1	20	1	21
l1_prescale_set	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	266	266	266	1	15	12	0.18	0.14	1.25	20	2	22
l1_prescale_set_alias	55	30	-	84	2007-05-30 09:26:30	2009-03-29 08:14:27	1	3	668	7	7	7.02	1	5	4	0.09	0.07	1.25	20	1	21
l1_prescaled_clock	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	8	8	8.01	1	6	5	0.07	0.06	1.2	20	1	21
l1_random	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	8	12	10.44	1.5	12	7	0.14	0.08	1.71	20	2	22
l1_random_rates	52	33	-	84	2007-07-03 11:48:39	2009-03-29 08:14:27	1	3	634	2	3	2.98	1.5	3	1	0.06	0.02	3	20	1	21
l1_ti_to_tt	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	8	8	8.01	1	4	4	0.05	0.05	1	20	1	21
l1_tm_to_ps	18	67	-	84	2008-06-11 16:30:32	2009-03-29 08:14:27	2	3	290	6	6	6	1	0	0	0	0		20	0	20
l1_tm_to_ti	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	7	6	6.28	0.86	5	5	0.06	0.06	1	20	1	21
l1_tm_to_tt	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	11	11	11.09	1	13	7	0.15	0.08	1.86	20	2	22
l1_tm_to_tt_forced	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	6	6	6.01	1	4	4	0.05	0.05	1	20	1	21
l1_tm_to_tt_mon	45	40	-	84	2007-10-07 12:56:49	2009-03-29 08:14:27	2	3	538	11	11	11	1	4	2	0.09	0.04	2	20	1	21
l1_trigger_item	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	9	12	11.07	1.33	9	9	0.11	0.11	1	20	2	22
l1_trigger_menu	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	11	10	10.4	0.91	9	6	0.11	0.07	1.5	20	2	22
l1_trigger_threshold	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	8	10	9.59	1.25	8	6	0.09	0.07	1.33	20	1	21
l1_trigger_threshold_value	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	17	17	17.01	1	20	10	0.24	0.12	2	20	2	22
l1_trigger_type	57	0	56	56	2006-07-31 15:14:12	2008-04-09 09:15:38	0	2	617	14	14	14.02	1	6	5	0.11	0.09	1.2	10	2	12
l1_tt_to_ttv	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	6	6	6.01	1	4	4	0.05	0.05	1	20	1	21
super_master_table	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	8	12	9.42	1.5	10	9	0.12	0.11	1.11	20	2	22
trigger_alias	57	28	-	84	2007-05-18 13:31:29	2009-03-29 08:14:27	1	3	680	8	7	7.02	0.88	8	6	0.14	0.11	1.33	20	2	22
trigger_log	34	51	-	84	2008-04-02 16:14:38	2009-03-29 08:14:27	2	3	360	3	4	3.68	1.33	5	3	0.15	0.09	1.67	20	1	21
trigger_next_run	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	5	5	5.01	1	4	4	0.05	0.05	1	20	1	21
trigger_schema	43	42	-	84	2007-10-16 14:21:55	2009-03-29 08:14:27	2	3	529	3	3	3	1	2	1	0.05	0.02	2	20	1	21
tt_users	28	57	-	84	2008-04-09 13:09:11	2009-03-29 08:14:27	2	3	353	3	3	3	1	0	0	0	0		20	0	20
